Station Code,Station Name,Planning Area,Region,NS,EW,CG,NE,BP LRT,Sengkang LRT,Punggol LRT,CC,DT,TE,LRT/MRT,No of lines,No of lines opened,Line 1,Line 2,Line 3,Opening 1,Opening 2,Opening 3,Bus Interchange,Bus Terminal,Others,Connections to Other,Connection to other transport means
DT18,Telok Ayer,Downtown Core,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,MRT,1,1,DT,NA,NA,22/12/2013,NA,NA,FALSE,FALSE,FALSE,0,
CC28,Telok Blangah,Bukit Merah,CENTRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,MRT,1,1,CC,NA,NA,8/10/2011,NA,NA,FALSE,FALSE,FALSE,0,
BP14,Ten Mile Junction,Bukit Panjang,WEST,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,LRT,1,1,BP LRT,NA,NA,6/11/1999,NA,NA,FALSE,FALSE,FALSE,0,
SW4,Thanggam,Sengkang,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,LRT,1,1,Sengkang LRT,NA,NA,29/1/2005,NA,NA,FALSE,FALSE,FALSE,0,
EW17,Tiong Bahru,Bukit Merah,CENTRAL,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,EW,NA,NA,12/3/1988,NA,NA,FALSE,FALSE,FALSE,0,
NS19,Toa Payoh,Toa Payoh,CENTRAL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,NS,NA,NA,7/11/1987,NA,NA,TRUE,FALSE,FALSE,1, Toa Payoh Bus Interchange
SW7,Tongkang,Sengkang,NORTH-EAST,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,LRT,1,1,Sengkang LRT,NA,NA,29/1/2005,NA,NA,FALSE,FALSE,FALSE,0,
EW31,Tuas Crescent,Tuas,WEST,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,EW,NA,NA,18/6/2017,NA,NA,FALSE,FALSE,FALSE,0,
EW33,Tuas Link,Tuas,WEST,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,EW,NA,NA,18/6/2017,NA,NA,FALSE,TRUE,FALSE,1, Tuas Bus Terminal
EW32,Tuas West Road,Tuas,WEST,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MRT,1,1,EW,NA,NA,18/6/2017,NA,NA,FALSE,FALSE,FALSE,0,
